Profile,Notional (â‚¬mn),USD/pip,"Spread, pips (round-turn)","Slippage, pips (round-turn)",Total cost pips (round-turn),"Average spread, pips (round-turn)","Average  slippage,  pips (round-turn)","Total average cost, pips (round-turn)"
Retail,0.2,20.0,0.2-0.4,0.0-0.2,0.2-0.6,0.3,0.1,0.4
Retail,0.5,50.0,0.2-0.5,0.1-0.2,0.3-0.7,0.35,0.15,0.5
Retail,1.0,100.0,0.2-0.5,0.1-0.3,0.3-0.8,0.35,0.2,0.55
Retail,2.0,200.0,0.3-0.5,0.2-0.6,0.5-1.1,0.4,0.4,0.8
Retail,3.0,300.0,0.3-0.6,0.3-0.7,0.6-1.3,0.45,0.5,0.95
Retail,4.0,400.0,0.3-0.7,0.4-0.8,0.7-1.5,0.5,0.6,1.1
Retail,5.0,500.0,0.3-0.7,0.4-0.9,0.7-1.6,0.5,0.65,1.15
Institutional,1.0,100.0,0.2-0.4,0.0-0.2,0.2-0.6,0.3,0.1,0.4
Institutional,5.0,500.0,0.2-0.5,0.2-0.6,0.4-1.1,0.35,0.4,0.75
Institutional,10.0,1000.0,0.2-0.6,0.4-1.2,0.6-1.8,0.4,0.8,1.2
Institutional,15.0,1500.0,0.3-0.7,0.70-1.50,1.0-2.2,0.5,1.1,1.6
Institutional,20.0,2000.0,0.3-0.8,1.0-1.8,1.3-2.6,0.55,1.4,1.95
Institutional,25.0,2500.0,0.3-0.8,1.0-2.0,1.3-2.8,0.55,1.5,2.05
Institutional,30.0,3000.0,0.3-0.9,1.1-2.2,1.4-3.1,0.6,1.65,2.25
Institutional,35.0,3500.0,0.4-1.0,1.25-2.50,1.65-3.5,0.7,1.875,2.575
Institutional,40.0,4000.0,0.4-1.0,1.4-2.8,1.8-3.8,0.7,2.1,2.8
